	logFC	logCPM	PValue	FDR
ENSMUSG00000021477	1.096316839	9.384325018	1.56E-16	7.43E-15
ENSMUSG00000029260	-1.195261775	8.830008449	1.69E-16	8.00E-15
ENSMUSG00000025533	1.495680341	10.36263002	1.70E-16	8.04E-15
ENSMUSG00000023963	1.432302385	5.726408933	1.76E-16	8.28E-15
ENSMUSG00000042487	1.173698773	3.625126338	1.89E-16	8.84E-15
ENSMUSG00000023232	1.133426812	4.294570443	2.00E-16	9.34E-15
ENSMUSG00000072082	1.296740581	4.67848931	2.10E-16	9.74E-15
ENSMUSG00000044468	1.207548984	3.555726086	2.35E-16	1.09E-14
ENSMUSG00000030378	-1.24978228	8.949375721	2.47E-16	1.14E-14
ENSMUSG00000071655	0.917411124	6.744965858	2.58E-16	1.19E-14
ENSMUSG00000003555	3.410121466	5.19953949	2.70E-16	1.24E-14
ENSMUSG00000018401	0.838535152	6.118409336	2.88E-16	1.31E-14
ENSMUSG00000067813	-1.593942967	3.544698445	2.99E-16	1.36E-14
ENSMUSG00000031628	-1.068502557	4.00043177	3.21E-16	1.45E-14
ENSMUSG00000041769	0.897625628	4.734567909	3.46E-16	1.56E-14
ENSMUSG00000029161	3.285989036	1.439119909	3.49E-16	1.57E-14
ENSMUSG00000110496	-3.150805547	0.436722289	3.61E-16	1.62E-14
ENSMUSG00000035878	1.051993621	6.24679095	3.89E-16	1.73E-14
ENSMUSG00000063229	1.318338203	9.762708769	3.93E-16	1.75E-14
ENSMUSG00000013150	1.273462682	3.350537619	4.08E-16	1.81E-14
ENSMUSG00000056091	1.464525351	8.045173933	4.27E-16	1.88E-14
ENSMUSG00000022790	1.102679946	4.462941605	5.42E-16	2.38E-14
ENSMUSG00000070368	-3.387729204	2.042281577	6.54E-16	2.86E-14
ENSMUSG00000024507	0.846129964	9.225530501	6.73E-16	2.94E-14
ENSMUSG00000030946	1.07477446	6.074217592	6.84E-16	2.97E-14
ENSMUSG00000003559	1.213454147	5.823680302	7.26E-16	3.14E-14
ENSMUSG00000030852	1.530030237	5.078360918	9.75E-16	4.21E-14
ENSMUSG00000028167	-1.512276999	3.603070153	1.07E-15	4.58E-14
ENSMUSG00000028008	1.621489642	2.537307526	1.48E-15	6.33E-14
ENSMUSG00000046329	-0.983946335	8.126256734	1.58E-15	6.72E-14
ENSMUSG00000031762	2.380026243	6.420187851	1.58E-15	6.72E-14
ENSMUSG00000028600	-1.396404342	2.492609157	1.58E-15	6.72E-14
ENSMUSG00000031897	-1.284738072	4.821582977	1.66E-15	7.03E-14
ENSMUSG00000033533	-0.98055337	8.337918404	1.68E-15	7.10E-14
ENSMUSG00000030670	-1.564668867	3.256710412	1.70E-15	7.15E-14
ENSMUSG00000021539	-1.359897302	5.035377501	1.96E-15	8.20E-14
ENSMUSG00000027762	-1.581582723	3.932075346	2.05E-15	8.54E-14
ENSMUSG00000022512	1.238665698	5.493974343	2.13E-15	8.86E-14
ENSMUSG00000060548	-1.760644588	2.523965356	2.37E-15	9.80E-14
ENSMUSG00000006641	-1.169891253	3.919891016	2.41E-15	9.95E-14
ENSMUSG00000010064	-1.084335338	10.75167782	2.45E-15	1.01E-13
ENSMUSG00000054630	-1.176330757	9.793441399	2.63E-15	1.08E-13
ENSMUSG00000031938	-0.916250352	7.794679755	2.77E-15	1.13E-13
ENSMUSG00000019122	-0.933953086	5.721932354	2.88E-15	1.17E-13
ENSMUSG00000055737	-1.03336961	8.370324897	2.93E-15	1.19E-13
ENSMUSG00000035948	1.110591474	4.587407612	3.09E-15	1.25E-13
ENSMUSG00000034528	0.88183906	8.719438534	3.23E-15	1.30E-13
ENSMUSG00000031974	-1.103415951	5.375566096	3.74E-15	1.50E-13
ENSMUSG00000024900	1.092514967	9.229511522	4.25E-15	1.70E-13
ENSMUSG00000045414	-1.026637217	4.806356023	4.88E-15	1.95E-13
ENSMUSG00000010601	-1.395798692	6.760590809	5.38E-15	2.14E-13
ENSMUSG00000041025	-1.116170918	4.255367892	5.98E-15	2.37E-13
ENSMUSG00000022098	0.92820582	7.024510503	6.16E-15	2.44E-13
ENSMUSG00000020423	1.782279399	3.498204965	7.09E-15	2.79E-13
ENSMUSG00000037847	-1.219021351	4.682293081	8.38E-15	3.29E-13
ENSMUSG00000025372	0.965383317	4.998270252	8.86E-15	3.47E-13
ENSMUSG00000068686	-1.77563284	1.335009552	9.02E-15	3.52E-13
ENSMUSG00000056966	1.907836695	1.106320286	9.80E-15	3.81E-13
ENSMUSG00000029201	-0.818676686	7.639621286	1.04E-14	4.03E-13
ENSMUSG00000038894	2.050900523	5.28413543	1.05E-14	4.08E-13
ENSMUSG00000032602	0.817328571	7.165101387	1.17E-14	4.50E-13
ENSMUSG00000026981	2.074415303	2.171082631	1.19E-14	4.56E-13
ENSMUSG00000017057	-1.023276264	4.624462603	1.23E-14	4.71E-13
ENSMUSG00000025934	-1.401645353	10.1027368	1.25E-14	4.77E-13
ENSMUSG00000037287	-0.930750813	6.182715494	1.26E-14	4.77E-13
ENSMUSG00000027690	-1.168731196	8.051375565	1.28E-14	4.84E-13
ENSMUSG00000026305	0.921649112	5.222142403	1.36E-14	5.16E-13
ENSMUSG00000021871	1.332007486	3.637257475	1.40E-14	5.28E-13
ENSMUSG00000041417	-0.834745034	6.046194395	1.48E-14	5.56E-13
ENSMUSG00000053898	0.872854197	8.58922462	1.54E-14	5.77E-13
ENSMUSG00000005373	-1.088825728	7.496361841	1.60E-14	5.96E-13
ENSMUSG00000000056	-0.899093702	5.696667583	1.66E-14	6.20E-13
ENSMUSG00000041798	-2.289396765	6.722892881	1.69E-14	6.27E-13
ENSMUSG00000030972	-1.220354668	7.184710841	1.75E-14	6.46E-13
ENSMUSG00000028654	1.279053269	3.936760219	1.80E-14	6.64E-13
ENSMUSG00000054484	1.180908991	4.543689457	1.88E-14	6.93E-13
ENSMUSG00000031604	-2.090702737	5.945132651	1.98E-14	7.27E-13
ENSMUSG00000031790	-0.944722905	5.558463159	2.14E-14	7.83E-13
ENSMUSG00000028792	-0.804812017	7.778968281	2.20E-14	7.99E-13
ENSMUSG00000015451	-1.678076704	3.790768079	2.20E-14	7.99E-13
ENSMUSG00000021215	0.814484247	6.01400144	2.25E-14	8.16E-13
ENSMUSG00000028607	0.822259596	7.864568285	2.28E-14	8.22E-13
ENSMUSG00000050122	2.830438025	0.744359231	2.60E-14	9.38E-13
ENSMUSG00000068762	-1.02610047	5.756450959	2.80E-14	1.01E-12
ENSMUSG00000041698	-1.48560388	7.898142929	3.04E-14	1.09E-12
ENSMUSG00000027359	0.907359503	10.79508353	3.31E-14	1.18E-12
ENSMUSG00000042115	2.055291356	1.564469662	3.50E-14	1.25E-12
ENSMUSG00000025197	-1.121686377	8.021679259	3.65E-14	1.30E-12
ENSMUSG00000063919	1.968763608	1.669805795	3.83E-14	1.35E-12
ENSMUSG00000041782	1.261536964	3.418249283	4.03E-14	1.42E-12
