"logFC"	"logCPM"	"PValue"	"FDR"
"ENSMUSG00000028251"	-0.826151931862946	3.96251010044743	1.49964890497688e-12	9.58347062132843e-11
"ENSMUSG00000020776"	1.75493588038419	4.11553364859907	1.5763796208552e-12	1.00207963477311e-10
"ENSMUSG00000063952"	0.694925996739496	5.50369078733258	1.73029781510736e-12	1.09416424140663e-10
"ENSMUSG00000096727"	-1.08955014506483	3.38266380615928	1.85258545177575e-12	1.16539203575768e-10
"ENSMUSG00000030483"	1.45596779269844	8.58949367529944	1.87706409162688e-12	1.17467254397251e-10
"ENSMUSG00000057110"	1.02922758829266	4.44607679678426	1.94666317377391e-12	1.21194834086811e-10
"ENSMUSG00000029381"	-1.28747249153654	3.23236868139166	2.1224069098407e-12	1.31458618754133e-10
"ENSMUSG00000084839"	1.59471028323223	3.61362274253649	2.15992098615389e-12	1.33099620769218e-10
"ENSMUSG00000048486"	0.911756989427347	6.64278258486037	2.44718777521902e-12	1.5003621293957e-10
"ENSMUSG00000040017"	0.887181580175364	8.65076859141679	2.72633670318527e-12	1.66306538894302e-10
"ENSMUSG00000027173"	-0.822587272906451	4.59646064457034	2.774162608124e-12	1.68373547642823e-10
"ENSMUSG00000109482"	-1.02684647357523	5.40357384710216	2.94039887314986e-12	1.7757068794952e-10
"ENSMUSG00000013539"	0.768892197671972	5.48384196454803	3.10541880678668e-12	1.86603225613779e-10
"ENSMUSG00000023249"	-0.873485229022293	4.27648490779658	3.74959622503859e-12	2.24196154485228e-10
"ENSMUSG00000028976"	-1.18181015527276	2.90057734265146	3.91791726936235e-12	2.33106427484525e-10
"ENSMUSG00000020044"	0.659318966569167	5.64230804538344	4.30153778547584e-12	2.54676340063614e-10
"ENSMUSG00000035877"	0.740867819207214	6.63951021031184	4.33645524188501e-12	2.55491250787742e-10
"ENSMUSG00000036918"	-0.81997074378331	6.20904826466137	4.75181272434302e-12	2.78603854779685e-10
"ENSMUSG00000023800"	-1.03821791335022	3.30541179973852	5.46518414320316e-12	3.1888161392081e-10
"ENSMUSG00000028008"	1.26618036281604	2.28191191955736	5.70533942915583e-12	3.31293700121847e-10
"ENSMUSG00000022809"	0.689527564745981	6.59062553688512	5.9465555514173e-12	3.43648315550326e-10
"ENSMUSG00000056749"	1.41893831752918	4.39846690647606	6.5867398450159e-12	3.78831637371915e-10
